n, x1, x2, y, phi1, phi2, Ax, Ay, Bx, By, C, time
164, -0.149709, 0.149550, 0.221874, 1.982236, 1.981223, -0.353000, 0.310672, 0.353000, 0.310672, 1.178097, 23790.000000
165, -0.142651, 0.142562, 0.227684, 1.962357, 1.962128, -0.353000, 0.314661, 0.353000, 0.314661, 1.178097, 22867.000000
166, -0.136183, 0.136154, 0.233040, 1.944648, 1.945064, -0.353000, 0.318249, 0.353000, 0.318249, 1.178097, 23244.000000
167, -0.130398, 0.130414, 0.237857, 1.929235, 1.930103, -0.353000, 0.321407, 0.353000, 0.321407, 1.178097, 23140.000000
168, -0.125384, 0.125429, 0.242050, 1.916216, 1.917325, -0.353000, 0.324110, 0.353000, 0.324110, 1.178097, 23349.000000
169, -0.121216, 0.121274, 0.245546, 1.905656, 1.906812, -0.353000, 0.326334, 0.353000, 0.326334, 1.178097, 24178.000000
170, -0.117959, 0.118015, 0.248284, 1.897588, 1.898627, -0.353000, 0.328061, 0.353000, 0.328061, 1.178097, 24701.000000
171, -0.115657, 0.115703, 0.250217, 1.892016, 1.892822, -0.353000, 0.329272, 0.353000, 0.329272, 1.178097, 24812.000000
172, -0.114342, 0.114372, 0.251313, 1.888932, 1.889428, -0.353000, 0.329955, 0.353000, 0.329955, 1.178097, 25412.000000
173, -0.114032, 0.114041, 0.251555, 1.888313, 1.888463, -0.353000, 0.330100, 0.353000, 0.330100, 1.178097, 27192.000000
174, -0.114727, 0.114717, 0.250939, 1.890135, 1.889938, -0.353000, 0.329704, 0.353000, 0.329704, 1.178097, 25792.000000
175, -0.116418, 0.116391, 0.249477, 1.894372, 1.893865, -0.353000, 0.328763, 0.353000, 0.328763, 1.178097, 27790.000000
176, -0.119085, 0.119047, 0.247191, 1.901001, 1.900255, -0.353000, 0.327281, 0.353000, 0.327281, 1.178097, 28185.000000
177, -0.122696, 0.122656, 0.244114, 1.910001, 1.909133, -0.353000, 0.325265, 0.353000, 0.325265, 1.178097, 28222.000000
178, -0.127213, 0.127186, 0.240289, 1.921365, 1.920534, -0.353000, 0.322725, 0.353000, 0.322725, 1.178097, 52544.000000
179, -0.132595, 0.132597, 0.235763, 1.935103, 1.934511, -0.353000, 0.319676, 0.353000, 0.319676, 1.178097, 34383.000000
180, -0.138795, 0.138843, 0.230591, 1.951257, 1.951129, -0.353000, 0.316135, 0.353000, 0.316135, 1.178097, 27565.000000
181, -0.145763, 0.145876, 0.224828, 1.969900, 1.970457, -0.353000, 0.312125, 0.353000, 0.312125, 1.178097, 26227.000000
182, -0.153449, 0.153637, 0.218535, 1.991146, 1.992549, -0.353000, 0.307670, 0.353000, 0.307670, 1.178097, 25778.000000
183, -0.161792, 0.162054, 0.211780, 2.015124, 2.017419, -0.353000, 0.302799, 0.353000, 0.302799, 1.178097, 23318.000000
184, -0.170716, 0.171038, 0.204637, 2.041950, 2.045022, -0.353000, 0.297542, 0.353000, 0.297542, 1.178097, 22435.000000
185, -0.180130, 0.180480, 0.197194, 2.071683, 2.075240, -0.353000, 0.291932, 0.353000, 0.291932, 1.178097, 24070.000000
186, -0.189924, 0.190258, 0.189547, 2.104298, 2.107904, -0.353000, 0.286006, 0.353000, 0.286006, 1.178097, 26680.000000
